president,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11
Abraham Lincoln,0.15557739591846864,0.0,0.0,0.03809386889139811,0.0,0.00620571772257487,0.14105993881821632,0.09212762167056401,0.00451343630750974,0.37559561654925344,0.18182274500528972,0.0
Andrew Jackson,0.038268378004431725,0.0,0.0,0.007227108025780091,0.0,0.0,0.005567636699057543,0.0,0.0017913807756625689,0.8508059072953004,0.09120407012792733,0.0023397869573762785
Andrew Johnson,0.04193047310916647,0.0,0.0,0.0021036428309256032,0.0,0.0,0.010735739683431963,0.009807921104854154,0.026703455455360875,0.8167291944546085,0.09002958172030988,0.0
Barack Obama,0.0005646717241581748,0.0,0.00827703405829037,0.03275381802928214,0.0,0.6848497107332828,0.20416860094330475,0.06158649227490612,0.0,0.0026680835175747963,0.0016248223243975173,0.0007628480009004182
Benjamin Harrison,0.18314212341792882,0.0018975381273776293,0.0,0.00347977913916111,0.0,0.019618394784629345,0.036307663470506665,0.023970074951648712,0.4570928203407675,0.18203674019314348,0.07062594294548034,0.01794467940926552
Bill Clinton,0.0,0.0,0.0,0.052230555970126234,0.00283213055286652,0.6386798505599682,0.1836714754358698,0.10877501367567441,0.001200783806733596,0.00929701471557984,0.00040676989234410797,0.0010376714934141208
Calvin Coolidge,0.08493685908615589,0.0,0.0,0.24127685899535814,0.0008605748880654573,0.008900111696372429,0.05961498082615435,0.022119648133714993,0.0,0.06459938051799934,0.3770933939764897,0.1376309668024381
Chester A. Arthur,0.016887857324697754,0.0,0.0,0.02760198890146884,0.0,0.0015859751200134103,0.020451504398475994,0.0029450888660821047,0.08572424745017831,0.3419681384482167,0.4189621033993634,0.08062640103426846
Donald Trump,0.000560128413464712,0.0,0.0,0.024376510763945786,0.0,0.48469693691510224,0.25646971451604494,0.22290023391985375,0.0,0.009054715299735899,0.0,0.0
Dwight D. Eisenhower,0.0,0.0,0.0,0.7931105554103851,0.0,0.019510287046432494,0.11858641977111499,0.013175274928410847,0.0022530116140842436,0.01638800414899985,0.027700490752855935,0.00505660871664683
Franklin D. Roosevelt,0.00360881613225353,0.003720266478402274,0.07052947409755113,0.17494675710949362,0.0,0.06798589001504743,0.5044922664077306,0.026452261289315566,0.001464988047979316,0.037363896583568076,0.046811768462007144,0.058900415878362804
Franklin Pierce,0.1778139131764571,0.0,0.0,0.002719202886025111,0.0,0.0,0.006851467986901601,0.0,0.0019651245325803756,0.5884970717132092,0.2100643699367841,0.010297245346009731
George H. W. Bush,0.0,0.0065640541522399235,0.0,0.12668265232249445,0.0,0.3709165715490994,0.36333687429356837,0.12973775836112705,0.0,0.0010692782538092654,0.0,0.0
George W. Bush,0.0004478636685581434,0.022579518812043325,0.0,0.062405419535934925,0.0,0.4536106094185795,0.41251172799439656,0.03287928201080788,0.0016784844476552237,0.0004917167659316744,0.0034405628352292945,0.008090659443821226
George Washington,0.09305644647351333,0.04534511126223065,0.0,0.0044032615565118335,0.0032606756403332667,0.0007263007795526868,0.010346957171956698,0.0052656421349162146,0.0007904860235395885,0.721130021626041,0.11211826288629145,0.0
Gerald Ford,0.0,0.01412567070552281,0.0,0.5549180554226041,0.0,0.25173633439200266,0.06550453723009143,0.0331508567822831,0.0,0.0514867062281285,0.005081148552043098,0.02152421006134578
Grover Cleveland,0.02323318128897385,0.0,0.0,0.028731408500761696,0.0,0.005886239535880812,0.002035551168250315,0.004477807574651458,0.28464715481933317,0.3320008965039795,0.2996459614316171,0.016394351467941746
Harry S. Truman,0.0014992725888365193,0.011671855849655051,0.0,0.1836989325912375,0.0,0.2297499142587185,0.38468628817875133,0.1020554268830701,0.0,0.030557128845861082,0.01774036707846742,0.034210576038611565
Herbert Hoover,0.05084411557763815,0.008568548659483591,0.00172641451160113,0.2730167225313683,0.0,0.010102407199641068,0.037135768495500085,0.02483376916497946,0.02886941805481911,0.022366629665096602,0.06613171240314841,0.4741988185793161
James A. Garfield,0.0,0.0,0.0,0.08524028211832047,0.0,0.0,0.14626936614513397,0.0,0.0,0.4307789206504822,0.3351912498474121,0.0
James Buchanan,0.21259677968919277,0.0,0.0,0.0,0.0011459414714149066,0.0,0.0080485581420362,0.0007834451140037604,0.004895549400576523,0.6957939650331225,0.07266051980799862,0.00287924733545099
James K. Polk,0.45255217269063,0.0,0.0,0.0030408161878585816,0.0,0.0,0.0034948742389678956,0.0,0.0017124630510807037,0.43428129725158215,0.10068696331232786,0.00042651448398828507
James Madison,0.29492523038590496,0.0,0.0,0.010675095021724701,0.0,0.0,0.030687872405079277,0.0,0.0,0.5274947023188526,0.13110454118048603,0.001908328892155127
James Monroe,0.22230831068009138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4109965741634369,0.3656358182430267,0.0
Jimmy Carter,0.0,0.004679336466572501,0.00923258743502877,0.4216959366405552,0.0,0.2855629673735662,0.0844146351922642,0.16020596090873535,0.0,0.00610502301291986,0.01069869693707336,0.013136457228525118
Joe Biden,0.0,0.0,0.0,0.008983420143867361,0.11551461715636582,0.4286846802409353,0.2765754295577263,0.16782452731296935,0.0,0.0006528521149322905,0.0,0.0
John Adams,0.236116168813573,0.0,0.0,0.008206787208716074,0.01299596495098538,0.001514974981546402,0.02889440001712905,0.00951390051179462,0.0,0.6306222180525461,0.06918058906578356,0.0
John F. Kennedy,0.0014733890692392984,0.0023290744258297816,0.017310632599724665,0.4043160892609093,0.0,0.07776838412715328,0.2544419340168436,0.18581720979677308,0.00042835018701023524,0.029647599450416035,0.0024975634697410798,0.020110301300883295
John Quincy Adams,0.2582987482762999,0.0,0.0,0.01030585914850235,0.0,0.0,0.03808883142968019,0.0,0.0,0.3306951042678621,0.359437828262647,0.0
John Tyler,0.2717480698807372,0.0,0.0,0.0018227038284142811,0.0,0.0,0.0,0.0,0.01139253843575716,0.5480354473822646,0.13837932609021664,0.02675917123754819
Lyndon B. Johnson,0.0034009495776304056,0.0034863361695282894,0.022355000672101135,0.19630534965282595,0.0,0.21966434340976493,0.2761696042020766,0.19913767093241636,0.005281217396259308,0.038910723015875885,0.02989335890701959,0.002598298870971505
Martin Van Buren,0.20301047265529631,0.0,0.0,0.010588095337152482,0.0,0.0,0.002522898092865944,0.0,0.005901430547237396,0.6152141839265823,0.1575343247503042,0.0014340859837830068
Millard Fillmore,0.1455082105738776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005493228988988059,0.5316200362784522,0.31518051453999113,0.0
Richard M. Nixon,0.0,0.0,0.0,0.3328453942971385,0.001988536475793175,0.1867305859113517,0.3151493428841881,0.13886019757584386,0.0,0.021464567955421364,0.0,0.0011253496227057083
Ronald Reagan,0.00021787264073888462,0.002251609166463216,0.0027098397413889566,0.1937868503232797,0.001449223980307579,0.3478434982709587,0.1680331459424148,0.26318642469123005,0.00230529789502422,0.007237273966893554,0.0019320578624804814,0.007162689014027516
Rutherford B. Hayes,0.010197814553976059,0.0,0.0,0.00900585250928998,0.0,0.0,0.0,0.0,0.12037038197740912,0.5916078827576712,0.2500971219269559,0.01615005941130221
Theodore Roosevelt,0.09126157516782935,0.06627573225308549,0.0,0.055653188631615856,0.0,0.048748174512928184,0.029255009764297443,0.0014959864995696328,0.029694479636170647,0.10599757595495744,0.517670969478786,0.050203725695610046
Thomas Jefferson,0.3806854122861599,0.011384863406419754,0.01898811881740888,0.007241728637988369,0.0,0.039780172829826675,0.043971179674069084,0.012967329355888069,0.0,0.3565269489772618,0.125589038633431,0.0
Ulysses S. Grant,0.09436308426666074,0.0,0.0,0.0066487647127360106,0.0,0.0009398716501891613,0.012605707364855334,0.0011547529138624668,0.0856877127662301,0.5039946473552845,0.2766036671237089,0.014377121813595295
Warren G. Harding,0.03053255213631524,0.0,0.009373451272646586,0.4251735334595044,0.00101076935728391,0.00250391848385334,0.3389427094823784,0.038811208887232676,0.0,0.04103275936924749,0.08957004050413768,0.02017859700653288
William Harrison,0.0,0.0,0.0,0.0,0.0,0.0,0.043428365141153336,0.0,0.0,0.9562417268753052,0.0,0.0
William McKinley,0.10687494038471154,0.0,0.0,0.07830687572381326,0.0,0.001662914375109332,0.011581183411180973,0.0,0.09549816351916109,0.21536317647301725,0.47644301716770443,0.009851908311247826
William Taft,0.0,0.0020833706172804036,0.0,0.007282266393303871,0.0,0.0,0.0,0.0,0.042741946720828615,0.08755179060002168,0.5083294411500295,0.3494523727179815
Woodrow Wilson,0.0611512390614459,0.008175615108374393,0.009167520385799986,0.14516553017451908,0.0,0.02326055856026483,0.19863745762091695,0.06624215931603403,0.004575992623964946,0.1345048825341192,0.335467089165115,0.010495186416488705
Zachary Taylor,0.2579327654093504,0.005966281984001398,0.0,0.011703082360327244,0.0,0.0,0.0,0.0,0.0,0.5419900328852236,0.18135109962895513,0.0
